,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STORAGE - SHUTTER,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nos(cove),1,,,Shelves (horizontal),,0,,,wall cabinet- 700X600X300MM                                         ,,,,,,,,,,,,,,,,,
,Length ( Meters),0.6,M,,Partition (vertical),,0,,,,,,,,,,,,,,,,,,,,
,Height (Meters),0.2,M,,Shutters,,0,,,,,,,,,,,,,,,,,,,,
,Depth (Meters),0.45,M,,Internal drawers,,1,,,,,,,,,,,,,,,,,,,,
,Base Material ,PLY MR  - 18mm,SFT,,0.60,1.80,0.43,,,,,,,,,,,,,,,,,,,,
,Secondary Material ,MDF - 5.5mm ,,,"Additional ",,,,,,,,,,,,,,,,,,,,,,
,Internal Finish,0.8mm Off white laminate ,,,Jaali-6mm MDF+DUCO,,,,,,,,,,,,,,,,,,,,,,
,External Finish,SF Laminate ,,,,,,,,,,,,,,,,,,,,,,,,,
,Hinges,Hettich -Soft,,,Area(SFT),,2,,,,,,,,,,,,,,,,,,,,
, Drawer Channel,EBCO - 300mm-Normal,,,Rate/Sft.,,4926,,,,,,,,,,,,,,,,,,,,
,Low Value,Yes,,,Amount,,9852,,,,,,,,,,,,,,,,,,,,
,,,,,,,8,,,,,,,,,,,,,,,,,,,,
,Actual Material usage post wastage ,,,,Absolute  Pending material  post wastage ,,,,,,,,,,,,,,,,,,,,,,
,SFT,NOs,,,SFT,,NOs,,,,,,,,,,,,,,,,,,,,
Base Material ,54,1.68,,,32,,1.00,,,,,,,,,,,,,,,,,,,,
Secondary Material ,4,0.14,,,32,,1.00,,,,,,,,,,,,,,,,,,,,
Internal Finish,94,2.93,,,32,,1.00,,,,MATERIAL CALCULATION ,,,,,,,,,,,,,,,,
External Finish,23,0.71,,,,,,,,,Area ,NOS,LENGTH ,HEIGHT ,DEPTH ,,SHELVES ,PARTITION ,DRAWERS ,SHUTTERS ,,,,,,,
,,,,,,,,,,,,1,0.6,0.2,0.45,  ,0,0,1,0,,,,,,,
BILL OF MATERIALS (Per Unit)				,,,,,,,,,,,,,,,,,,0.60,1.80,0.43,,,,,,,
Sl NO,CATEGORY ,ITEM ,UOM,QUANTITY ,RATE ,AMOUNT ,,SFT,NOs,,,Nos,L,H,D,Quantity,BM,SM,,,,,,,,,
1,Base Material ,PLY MR  - 18mm,NOS,1.68,2336,3931,,54,1.68,,BASE MATERIAL ,,,,,,,,,,,,,,,,
2,Secondary Material,Blockboard -19mm,NOS,0.14,"3,450",483,,4,0.14,,Front/Shutter&Back,2,0.60,0.20,0.00,0.2,0,0,,,,,,,,,
3,Internal Finish,0.8mm Off white laminate ,NOS,2.93,750,2201,,94,2.93,,Sides,2,0.00,0.20,0.45,0.2,0.2,0,,,,,,,,,
4,"internal Polish                                                                 ""        ",NA,NOS,85,,0,,,,,Top/Bottom,2,0.60,0.00,0.45,0.5,0.5,0,,,,,,,,,
5,External Finish,SF Laminate ,NOS,0.71,1500,1066,,,,,Partition,0,0.00,0.20,0.45,0.0,0.0,0,,,,,,,,,BILL OF MATERIALS (Per Unit)				
6,External Polish                                                                 ,NA,NOS,21,,0,,,,,shelves ,0,0.60,0.00,0.45,0.0,0.0,0,,,,,,,,,
7,Adhessive ,Fevicol (SH+SR),KG,0.14,245,34,,,,,Drawers,1,0.60,1.80,0.43,,,,,,,,,,,,
8,Handle /Knob,Handle,NOS,1,200,200,,,,,Base,1,0.60,0.00,0.43,0.3,0.0,0.3,,,,,,,,,
9,Hinges,Hettich -Soft,PAIRS,0,330,0,,,,,Sides(R/L),2,0.00,1.80,0.43,1.5,1.5,0,,,,,,,,,
10,Channels for drawers,EBCO - 200mm-Normal,PAIRS,1,149,149,,,,,Sides(F/B),2,0.60,1.80,0.00,2.2,2.2,0,,,,,,,,,
11,lock ,Epco Locks,NOS,0,174,0,,,,,,,,Total(SQM),,4.9,4.5,0.4,,,,,,,,,
12,Nails,Nails,KG,0.3,80,24,,,,,,,,Total(SFT),,53,49,4,,,,,,,,,
13,jaali ,Jaali-18mm MDF+DUCO,SFT,0,880,0,,,,,,,,,,,,,,,,,,,,,
14,Additional ,Melamine,SFT,0,120,0,,,,,FINISHING MATERIAL ,,,,,,,,,,,,,,,,
15,,5mm Mirror,SFT,0,150,0,,,,,INTERNAL FINISH ,,,,,,,,,,,,,,,,
16,Miscellaneous item ,2.50%,LS,1,202,202,,,,,Front/Shutter  &Back,3,0.60,0.20,0.00,0.4,,,,,,,,,,,
17,Labour,Storage ,SFT,2,280 /sft,560,,,,,Sides,2,0.00,0.20,0.45,0.2,,,,,,,,,,,
18,Transportation ,,,,3%,221,,,,,Top/Bottom,2,0.60,0.00,0.45,0.5,,,,,,,,,,,
Total (COGS),,,,,,5140,2570,/sft,,,Partition,0,0.00,0.20,0.45,0.0,,,,,,,,,,,
Vendor Price,,,,,15%,5911,2956,/sft,,,shelves ,0,0.60,0.00,0.45,0.0,,,,,,,,,,,
HL Price price ,,,,,40%,9852,4926,/sft,,,Drawers,1,0.60,1.80,0.43,,,,,,,,,,,,
,,,,,,,,,,,Base,2,0.60,0.00,0.43,0.5,,,,,,,,,,,
,,,,,,,,,,,Sides(R/L),4,0.00,1.80,0.43,3.1,,,,,,,,,,,
,,,,,,,,,,,Sides(F/B),3,0.60,1.80,0.00,3.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,8,SQM,,,,,,,,,,
,,,,,,,,,,,,,,Total,,85,SFT,,,,,,,,,,
,,,,,,,,,,,External FINISH ,,,,,,,,,,,,,,,,
,,,,,,,,,,,Front/Shutter  &Back,1,0.60,0.20,0.00,0.1,,0,,,,,,,,,
,,,,,,,,,,,Sides,2,0.00,0.20,0.45,0.2,,0.18,,,,,,,,,
,,,,,,,,,,,Top/Bottom,2,0.60,0.00,0.45,0.5,,0.54,,,,,,,,,
,,,,,,,,,,,Partition,0,0.00,0.20,0.45,0.0,,0,,,,,,,,,
,,,,,,,,,,,shelves ,0,0.60,0.00,0.45,0.0,,0,,,,,,,,,
,,,,,,,,,,,Drawers,1,0.60,1.80,0.43,,,,,,,,,,,,
,,,,,,,,,,,Base,0,0.60,0.00,0.43,0.0,,0,,,,,,,,,
,,,,,,,,,,,Sides(R/L),0,0.00,1.80,0.43,0.0,,0,,,,,,,,,
,,,,,,,,,,,Sides(F/B),1,0.60,1.80,0.00,1.1,,1,,,,,,,,,
,,,,,,,,,,,,,,,,2,SQM,2,SQM,,,,,,,,
,,,,,,,,,,,,,,Total,,21,SFT,21,SFT,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Material ,,Area      (Sft),Area (inc 10% wastage),Panel (nos),Panel (optimized),,,,,,,,,,,
,,,,,,,,,,,Base Material ,,49,54,1.7,2.0,,,,,,,,,,,
,,,,,,,,,,,Secondary Material ,,4,4,0.1,1.0,,,,,,,,,,,
,,,,,,,,,,,Internal Finish,,85,94,2.9,3.0,,,,,,,,,,,
,,,,,,,,,,,"internal Polish 								""	",,85,85,-,-,,,,,,,,,,,
,,,,,,,,,,,External Finish,,21,23,0.7,1.0,,,,,,,,,,,
,,,,,,,,,,,External Polish                                                                 ,,21,21,-,-,,,,,,,,,,,
